Ngày,Giá điều chỉnh,Giá đóng cửa,Giá bình quân,Giá tham chiếu,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Change_Value,Change_Percent,KL,GT
2019-02-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2019-02-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2019-02-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4400.0,4400000.0
2019-02-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2019-02-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2019-02-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2019-02-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2019-03-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2019-03-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2019-03-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2019-03-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2019-03-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2019-03-08,1.1,1.1,1.1,1.0,1.1,1.1,1.1,0.1,10.0,301.0,321900.0
2019-03-11,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.0,0.0,0.0,0.0
2019-03-12,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.0,0.0,0.0,0.0
2019-03-13,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.0,0.0,0.0,0.0
2019-03-14,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.0,0.0,0.0,0.0
2019-03-15,1.1,1.1,1.1,1.1,1.0,1.1,1.0,0.0,0.0,1610.0,1661000.0
